,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Ancud,CL,-41.8697,-73.8203,56.23,95,94,4.41,overcast clouds
325,Araguacu,BR,-12.9306,-49.8264,71.11,92,24,3.06,few clouds
326,Knysna,ZA,-34.0363,23.0471,64.78,77,100,4.43,overcast clouds
327,Krasnoselkup,RU,65.7,82.4667,15.04,96,100,7.72,overcast clouds
328,Homer,US,59.6425,-151.5483,28.27,93,100,11.5,overcast clouds
329,Nelson Bay,AU,-32.7167,152.15,72.09,67,100,4.0,overcast clouds
330,Tyup,KG,42.7276,78.3648,26.15,78,93,2.3,overcast clouds
331,Kem,RU,64.9555,34.5793,-1.23,99,77,3.8,broken clouds
332,Irbeyskoye,RU,55.6428,95.4522,17.78,83,98,3.8,overcast clouds
333,Fare,PF,-16.7,-151.0167,80.65,74,3,14.83,clear sky
334,Bontang,ID,0.1333,117.5,83.14,73,77,9.95,broken clouds
335,Wajir,KE,1.7471,40.0573,88.72,40,100,11.77,overcast clouds
336,Kozhevnikovo,RU,56.2589,83.9714,22.24,92,100,11.25,overcast clouds
337,Marienburg,PL,54.0359,19.0266,42.12,99,100,7.58,overcast clouds
338,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,51,75,11.18,broken clouds
339,Urubicha,BO,-15.3833,-62.95,71.26,95,99,3.76,overcast clouds
340,Shakhovskaya,RU,56.0283,35.5097,16.56,95,95,6.02,overcast clouds
341,Sindou,BF,10.6667,-5.1667,71.85,14,3,4.47,clear sky
342,Kalaleh,IR,37.3807,55.4916,71.96,37,0,0.0,clear sky
343,Garmsar,IR,35.2182,52.3409,55.27,30,68,5.75,broken clouds
344,San Francisco,US,37.7749,-122.4194,55.09,74,20,1.01,few clouds
345,Mackay,AU,-21.15,149.2,79.68,85,100,17.94,light rain
346,Riyadh,SA,24.6877,46.7219,78.85,22,0,12.66,clear sky
347,San Fernando,PH,15.0286,120.6898,89.69,40,59,13.71,broken clouds
348,Kazerun,IR,29.6195,51.6541,68.25,23,4,3.2,clear sky
349,Bathsheba,BB,13.2167,-59.5167,75.81,78,40,16.11,scattered clouds
350,San Andres,CO,12.5847,-81.7006,80.2,69,94,17.02,overcast clouds
351,Tvoroyri,FO,61.5556,-6.8111,36.79,81,100,43.22,overcast clouds
352,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,81,0,3.44,clear sky
353,Kyren,RU,51.6828,102.1408,17.38,84,54,1.25,broken clouds
354,Abu Dhabi,AE,24.4667,54.3667,75.31,62,20,5.75,few clouds
355,Mandurah,AU,-32.55,115.7,101.14,45,5,13.2,clear sky
356,Hashtrud,IR,37.4779,47.0508,31.28,81,97,2.93,overcast clouds
357,Inhambane,MZ,-23.865,35.3833,89.58,66,75,10.36,broken clouds
358,Balsas,BR,-7.5325,-46.0356,73.9,80,98,0.4,overcast clouds
359,Carutapera,BR,-1.195,-46.02,77.29,88,100,7.47,overcast clouds
360,Lantawan,PH,10.6167,123.9833,80.29,92,100,11.63,overcast clouds
361,Richards Bay,ZA,-28.783,32.0377,74.77,92,100,14.76,light rain
362,Pacific Grove,US,36.6177,-121.9166,54.57,87,0,1.99,clear sky
363,Lima,PE,-12.0432,-77.0282,66.45,84,0,6.91,clear sky
364,Entre Rios,BR,-11.9419,-38.0844,70.56,96,10,1.3,clear sky
365,Ambon,ID,-3.6954,128.1814,87.94,58,40,2.3,scattered clouds
366,Los Llanos De Aridane,ES,28.6585,-17.9182,60.12,67,0,8.99,clear sky
367,State College,US,40.7934,-77.86,32.81,96,100,1.01,snow
368,Dudinka,RU,69.4058,86.1778,-16.51,100,78,4.74,broken clouds
369,Luoyang,CN,34.6836,112.4536,48.38,22,2,8.41,clear sky
370,Churapcha,RU,62.0025,132.4325,-23.75,100,100,2.59,overcast clouds
371,Katiola,CI,8.1333,-5.1,71.01,14,0,1.63,clear sky
372,Nouadhibou,MR,20.931,-17.0347,62.58,67,3,4.61,clear sky
373,Sitka,US,57.0531,-135.33,46.29,81,100,21.85,moderate rain
374,Bosilegrad,RS,42.5011,22.4724,28.87,74,100,2.06,overcast clouds
375,Cervo,ES,43.6702,-7.4101,50.2,84,99,10.63,overcast clouds
376,Vostok,RU,46.4856,135.8833,-1.86,98,100,4.38,overcast clouds
377,Tucurui,BR,-3.7661,-49.6725,71.98,98,94,1.86,overcast clouds
378,Chinhoyi,ZW,-17.3667,30.2,77.52,68,63,3.29,light rain
379,Deputatskiy,RU,69.3,139.9,-26.27,100,54,1.68,broken clouds
380,Saint Pete Beach,US,27.7253,-82.7412,66.99,83,0,3.0,clear sky
381,Pisco,PE,-13.7,-76.2167,66.25,82,0,10.36,clear sky
382,Hambantota,LK,6.1241,81.1185,84.07,63,25,8.68,scattered clouds
383,Tahoua,NE,14.8888,5.2692,62.58,13,0,16.11,clear sky
384,Lata,PT,40.1629,-8.3327,47.07,96,100,2.19,overcast clouds
385,Betsiamites,CA,48.9413,-68.646,8.49,78,100,9.28,overcast clouds
386,Kidal,ML,18.4411,1.4078,59.13,17,0,19.26,clear sky
387,Broken Hill,AU,-31.95,141.4333,78.48,21,0,17.9,clear sky
388,Walvis Bay,NA,-22.9575,14.5053,69.1,69,2,7.83,clear sky
389,Kununurra,AU,-15.7667,128.7333,80.58,94,40,6.91,moderate rain
390,Yarada,IN,17.65,83.2667,84.52,54,40,11.5,scattered clouds
391,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,20,11.41,few clouds
392,Gamba,GA,-2.65,10.0,78.78,75,90,3.18,overcast clouds
393,Safaga,EG,26.7292,33.9365,61.2,40,4,20.76,clear sky
394,Padang,ID,-0.9492,100.3543,78.85,84,100,5.03,overcast clouds
395,Northam,GB,51.0333,-4.2167,41.67,87,100,21.61,overcast clouds
396,Cabedelo,BR,-6.9811,-34.8339,75.87,68,100,11.3,overcast clouds
397,Vestmannaeyjar,IS,63.4427,-20.2734,27.59,68,40,27.63,scattered clouds
398,Schleiden,DE,50.5295,6.477,43.27,1,100,13.69,overcast clouds
399,Bull Savanna,JM,17.8868,-77.5902,70.75,85,1,5.55,clear sky
400,Katsuura,JP,35.1333,140.3,47.1,79,100,7.83,overcast clouds
401,Miandrivazo,MG,-19.5167,45.4667,89.98,54,66,4.36,light rain
402,Zwedru,LR,6.0667,-8.1281,73.63,89,31,1.59,scattered clouds
403,Benicarlo,ES,40.4165,0.4271,61.9,73,61,2.93,broken clouds
404,Itarema,BR,-2.9248,-39.9167,77.07,84,100,8.25,overcast clouds
405,Mahina,PF,-17.5065,-149.489,80.37,74,20,2.3,few clouds
406,Waingapu,ID,-9.6567,120.2641,86.65,66,87,15.57,overcast clouds
407,Udimskiy,RU,61.1417,45.9144,8.83,94,92,2.53,overcast clouds
408,Jiangyou,CN,31.7667,104.7167,51.08,47,100,5.06,overcast clouds
409,Sawakin,SD,19.1059,37.3321,75.31,53,100,17.72,overcast clouds
410,Astoria,US,46.1879,-123.8313,44.85,96,100,3.44,overcast clouds
411,Sarh,TD,9.1429,18.3923,80.67,9,13,8.79,few clouds
412,Tacoronte,ES,28.4769,-16.4102,67.14,48,91,15.01,overcast clouds
413,Great Yarmouth,GB,52.6083,1.7305,48.45,87,100,13.13,moderate rain
414,Henties Bay,NA,-22.116,14.2845,68.86,72,5,6.08,clear sky
415,Fairbanks,US,64.8378,-147.7164,3.54,53,75,5.75,broken clouds
416,Tual,ID,-5.6667,132.75,83.77,76,71,17.16,broken clouds
417,Cayenne,GF,4.9333,-52.3333,79.09,88,100,5.01,light rain
418,Patnos,TR,39.2336,42.8634,21.43,94,100,1.9,light snow
419,Alta Floresta,BR,-9.8756,-56.0861,69.64,97,94,0.74,overcast clouds
420,Semey,KZ,50.4111,80.2275,8.82,66,0,13.42,clear sky
421,Itoman,JP,26.1247,127.6694,62.62,75,75,20.71,broken clouds
422,Durango,MX,24.8333,-104.8333,38.35,80,0,6.51,clear sky
423,Sabang,ID,5.8933,95.3214,82.62,73,33,18.05,scattered clouds
424,Clarence Town,AU,-32.5833,151.7833,71.94,62,89,10.51,overcast clouds
425,Camacha,PT,33.0833,-16.3333,62.53,94,75,2.3,broken clouds
426,Lampa,CL,-33.2833,-70.9,64.63,82,0,3.44,clear sky
427,Sola,VU,-13.8833,167.55,80.37,82,100,21.79,moderate rain
428,Lardos,GR,36.0942,28.0157,53.94,69,1,10.25,clear sky
429,Gucheng,CN,35.9115,111.3192,37.2,26,0,7.23,clear sky
430,Gotsu,JP,35.0,132.2167,41.14,55,98,20.22,overcast clouds
431,Necochea,AR,-38.5473,-58.7368,64.04,96,4,1.86,clear sky
432,Palu,ID,-0.8917,119.8707,82.89,77,100,4.12,overcast clouds
433,Yarkovo,RU,57.4028,67.0786,26.31,90,100,11.25,light snow
434,Vinh,VN,18.6667,105.6667,60.55,76,100,6.58,overcast clouds
435,Onega,RU,63.9061,38.1404,2.61,99,97,2.1,overcast clouds
436,North Bend,US,43.4065,-124.2243,42.08,99,0,6.91,clear sky
437,Rensvik,NO,63.1,7.8167,35.87,69,75,10.36,broken clouds
438,Biloela,AU,-24.4167,150.5,84.52,44,11,13.31,few clouds
439,Oltu,TR,40.5498,42.0013,32.02,87,100,2.66,light snow
440,Hamilton,US,39.1834,-84.5333,22.73,90,100,1.99,light snow
441,Carmen,MX,18.6333,-91.8333,75.22,78,0,7.54,clear sky
442,Auki,SB,-8.7676,160.7034,77.49,88,100,5.19,overcast clouds
443,Dargaville,NZ,-35.9333,173.8833,72.09,80,98,8.99,overcast clouds
444,Biltine,TD,14.5333,20.9167,69.84,15,2,22.1,clear sky
445,Iwanai,JP,42.9744,140.5089,22.46,80,100,13.42,light snow
446,Adrar,MR,20.5022,-10.0711,57.67,25,0,9.48,clear sky
447,Liku,ID,-0.7275,119.8922,82.47,71,100,4.43,overcast clouds
448,Kota Tinggi,MY,1.7381,103.8999,91.63,50,28,11.27,scattered clouds
449,Polunochnoye,RU,60.8697,60.4153,18.0,85,83,2.93,broken clouds
450,Pleasant Grove,US,40.3641,-111.7385,23.14,73,0,1.01,clear sky
451,Xuddur,SO,4.1213,43.8894,86.5,21,96,22.86,overcast clouds
452,Tazovskiy,RU,67.4667,78.7,0.39,98,98,5.21,overcast clouds
453,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,80,40,9.8,scattered clouds
454,Portland,US,45.5234,-122.6762,42.1,95,75,1.99,mist
455,Cururupu,BR,-1.8283,-44.8683,73.89,97,100,3.6,overcast clouds
456,Copiapo,CL,-27.3667,-70.3333,62.01,75,1,2.17,clear sky
457,Predivinsk,RU,57.0669,93.4378,20.64,91,100,7.47,overcast clouds
458,Panguna,PG,-6.3164,155.4848,71.89,93,100,1.07,overcast clouds
459,Kerema,PG,-7.9631,145.7785,83.61,72,96,6.51,overcast clouds
460,Kurilsk,RU,45.2333,147.8833,22.24,89,100,17.74,light snow
461,Ugoofaaru,MV,5.6667,73.0,81.52,71,13,11.77,few clouds
462,Bistrica,RO,47.1332,24.5001,27.36,91,100,0.65,overcast clouds
463,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,69.46,92,100,3.91,overcast clouds
464,Zhuhai,CN,22.2769,113.5678,66.97,63,0,17.27,clear sky
465,Banamba,ML,13.55,-7.45,64.15,16,0,7.7,clear sky
466,La Asuncion,VE,11.0333,-63.8628,76.73,88,0,10.36,clear sky
467,Sechura,PE,-5.5569,-80.8222,69.76,84,88,5.82,overcast clouds
468,Svetlyy,RU,54.675,20.1347,35.65,98,100,9.84,overcast clouds
469,Rio Grande,BR,-32.035,-52.0986,71.94,94,100,8.66,light rain
470,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.68,93,94,3.83,overcast clouds
471,Margate,GB,51.3813,1.3862,49.96,79,100,10.0,overcast clouds
472,Borovoy,RU,55.4333,86.0833,15.08,85,98,4.47,smoke
473,Sorland,NO,67.667,12.6934,30.06,95,100,33.55,snow
474,Fukue,JP,32.6881,128.8419,43.16,56,75,14.97,broken clouds
475,Cerritos,US,33.8583,-118.0648,59.14,69,0,0.0,clear sky
476,Kalianget,ID,-7.05,113.9333,84.0,72,65,5.82,broken clouds
477,Sal Rei,CV,16.1833,-22.9167,68.56,94,75,8.05,mist
478,Porto Novo,BJ,6.4965,2.6036,78.62,66,1,2.44,clear sky
479,Guiratinga,BR,-16.3494,-53.7583,69.73,94,100,3.04,overcast clouds
480,Bulgan,MN,48.8125,103.5347,12.09,78,99,0.92,overcast clouds
481,Arrecife,ES,28.963,-13.5477,69.78,52,0,3.44,clear sky
482,Nouakchott,MR,18.0858,-15.9785,60.73,26,0,12.21,clear sky
483,Marsh Harbour,BS,26.5412,-77.0636,72.93,66,47,16.6,scattered clouds
484,Melito Di Porto Salvo,IT,37.9222,15.7714,57.56,47,75,3.44,broken clouds
485,Encruzilhada,BR,-15.5314,-40.9094,65.17,98,55,2.19,broken clouds
486,Belle Fourche,US,44.6714,-103.8522,29.71,80,99,13.24,overcast clouds
487,Rongcheng,CN,30.634,117.8517,44.38,65,99,3.42,overcast clouds
488,Nome,US,64.5011,-165.4064,7.11,56,0,26.46,clear sky
489,Taoudenni,ML,22.6783,-3.9836,61.02,18,40,9.28,scattered clouds
490,Altamira,BR,-3.2033,-52.2064,70.99,100,81,1.77,moderate rain
491,Labuhan,ID,-6.8844,112.2051,84.69,71,83,9.33,broken clouds
492,Mnogovershinnyy,RU,53.9353,139.9242,-1.28,94,100,5.73,overcast clouds
493,Bacolod,PH,10.6667,122.95,76.33,84,100,13.13,overcast clouds
494,Peterhead,GB,57.5058,-1.7981,35.11,71,100,16.58,overcast clouds
495,Port Augusta,AU,-32.5,137.7667,84.7,31,100,17.13,overcast clouds
496,Bowen,AU,-20.0167,148.2333,79.88,81,100,6.17,light rain
497,Muhos,FI,64.808,25.9931,4.89,92,100,9.73,overcast clouds
498,Boguchany,RU,58.3814,97.4531,17.85,92,100,7.65,light snow
499,Abu Samrah,SY,35.3029,37.1841,49.42,70,100,3.56,overcast clouds
500,Haukipudas,FI,65.1765,25.3523,5.14,91,100,13.31,overcast clouds
501,Ulladulla,AU,-35.35,150.4667,68.88,55,48,11.7,scattered clouds
502,Santiago,CL,-33.4569,-70.6483,66.85,70,0,3.44,clear sky
503,Praxedis Guerrero,MX,31.3667,-106.0167,26.29,65,0,5.5,clear sky
504,Sompeta,IN,18.9333,84.6,79.84,63,59,17.54,broken clouds
505,Almaznyy,RU,48.0448,40.045,33.94,94,100,10.67,overcast clouds
506,Kutum,SD,14.2,24.6667,62.71,16,22,17.16,few clouds
507,Kodinsk,RU,58.6881,99.1844,17.15,92,100,7.02,light snow
508,Lasa,IT,46.6166,10.7002,36.86,71,3,3.33,clear sky
509,Chibombo,ZM,-14.6569,28.0706,72.59,76,100,7.81,overcast clouds
510,Yumen,CN,40.2833,97.2,24.55,25,63,15.12,broken clouds
511,Mabaruma,GY,8.2,-59.7833,72.05,94,96,3.53,overcast clouds
512,Karymskoye,RU,51.6167,114.35,6.58,76,17,7.4,few clouds
513,Merauke,ID,-8.4667,140.3333,82.72,78,100,10.04,overcast clouds
514,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.5,99,100,0.72,overcast clouds
515,Ranong,TH,9.9658,98.6348,93.13,52,8,13.04,clear sky
516,San Jeronimo,PE,-11.9472,-75.2829,48.67,83,100,1.19,light rain
517,Pierre,US,44.3683,-100.351,24.28,61,75,1.99,broken clouds
518,Ayagoz,KZ,47.9714,80.4392,12.43,79,6,5.26,clear sky
519,Montrose,US,38.4166,-108.2673,4.37,72,0,0.43,clear sky
520,Sarakhs,IR,36.5449,61.1577,64.54,29,27,6.91,dust
521,Miles City,US,46.4083,-105.8406,14.5,72,100,12.66,overcast clouds
522,Taft,IR,31.7471,54.2088,60.75,14,0,9.22,clear sky
523,Plettenberg Bay,ZA,-34.0527,23.3716,64.11,74,99,4.65,overcast clouds
524,Baruun-Urt,MN,46.6806,113.2792,3.85,80,0,9.06,clear sky
525,Saveh,IR,35.0213,50.3566,54.14,42,7,3.4,clear sky
526,Hope Mills,US,34.9704,-78.9453,68.38,89,100,5.01,overcast clouds
527,Batagay,RU,67.6333,134.6333,-37.17,98,36,2.59,scattered clouds
528,Bilibino,RU,68.0546,166.4372,-8.59,73,3,4.18,clear sky
529,Sinnamary,GF,5.3833,-52.95,75.88,90,80,11.27,light rain
530,Westfield,US,42.1251,-72.7495,53.11,96,100,1.99,moderate rain
531,Bari,IT,41.1177,16.8512,52.25,49,20,1.01,few clouds
532,Las Tunas,CU,20.9617,-76.9511,71.73,80,57,11.83,broken clouds
533,Manggar,ID,-2.8833,108.2667,83.14,72,47,6.26,scattered clouds
534,Bayan,CN,46.0833,127.4,2.19,90,94,5.1,overcast clouds
535,Tres Lagoas,BR,-20.7511,-51.6783,72.05,96,100,3.78,light rain
536,Puerto Leguizamo,CO,-0.1934,-74.7819,71.38,98,88,1.9,overcast clouds
537,Balikpapan,ID,-1.2675,116.8289,76.19,100,40,8.05,scattered clouds
538,Nanakuli,US,21.3906,-158.1547,71.55,75,0,3.44,clear sky
539,Kholodnyy,RU,62.7167,147.95,-21.23,92,12,5.35,few clouds
540,Misasi,TZ,-3.0,33.0833,74.66,70,100,3.49,light rain
541,Maldonado,UY,-34.6667,-54.9167,72.14,96,89,3.83,overcast clouds
542,Soyo,AO,-6.1349,12.3689,80.02,68,100,2.51,overcast clouds
543,Salinas,US,36.6777,-121.6555,54.37,72,0,0.0,clear sky
544,Srednekolymsk,RU,67.45,153.6833,-34.15,100,71,1.86,broken clouds
545,Bara,NG,10.3744,10.7288,69.58,14,3,12.84,clear sky
546,Victor Harbor,AU,-35.5667,138.6167,77.79,76,69,5.01,broken clouds
547,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,100,40,3.44,scattered clouds
548,Depok,ID,-6.4,106.8186,89.64,66,40,6.91,haze
549,West Plains,US,36.7281,-91.8524,19.53,88,100,4.0,overcast clouds
550,Evensk,RU,61.95,159.2333,16.32,45,100,23.98,overcast clouds
551,Mundo Nuevo,MX,18.7,-95.5,71.08,87,98,26.15,overcast clouds
552,Prainha,BR,-1.8,-53.48,72.52,98,100,1.54,overcast clouds
553,Marawi,PH,7.9986,124.2928,71.65,94,100,3.83,overcast clouds
554,La Seyne-Sur-Mer,FR,43.0982,5.8847,51.93,79,100,7.52,overcast clouds
555,Hualmay,PE,-11.0964,-77.6139,69.87,83,97,7.23,overcast clouds
556,Aqtobe,KZ,50.2797,57.2072,21.29,63,0,11.18,clear sky
557,Oistins,BB,13.0667,-59.5333,75.29,78,40,16.11,scattered clouds
558,Codajas,BR,-3.8367,-62.0569,71.78,99,100,0.63,heavy intensity rain
559,Bonavista,CA,48.6499,-53.1147,41.11,98,100,12.3,snow
560,Mount Darwin,ZW,-16.7725,31.5838,79.75,66,44,3.62,light rain
561,Bandarbeyla,SO,9.4942,50.8122,79.75,52,5,15.79,clear sky
562,Riachao Do Jacuipe,BR,-11.8069,-39.3856,71.26,94,30,2.51,scattered clouds
563,Kysyl-Syr,RU,63.8986,122.7617,-23.82,100,82,3.24,broken clouds
564,Gwadar,PK,25.1216,62.3254,74.08,30,0,6.71,clear sky
565,Innisfail,AU,-17.5333,146.0333,79.3,88,100,3.6,light rain
566,Carbonia,IT,39.1672,8.5222,47.98,63,81,2.13,broken clouds
567,Emba,KZ,48.8264,58.1442,27.81,76,100,16.93,overcast clouds
568,Berck,FR,50.4,1.6,46.94,87,100,12.66,overcast clouds
569,Pangnirtung,CA,66.1451,-65.7125,-14.48,100,100,5.7,overcast clouds
570,Alindao,CF,5.0267,21.2088,89.13,14,39,6.6,scattered clouds
571,Ulaangom,MN,49.9811,92.0667,-10.77,94,81,3.51,broken clouds
572,Trzebnica,PL,51.3108,17.0633,42.12,90,100,7.09,overcast clouds
573,Hereford,GB,52.0568,-2.7148,40.82,93,100,1.01,overcast clouds
574,Nyagan,RU,62.1406,65.3936,19.42,93,89,5.79,overcast clouds
575,Srandakan,ID,-7.9386,110.2506,85.19,67,100,7.02,moderate rain
576,Sorong,ID,-0.8833,131.25,83.46,73,74,11.45,broken clouds
577,Toba,JP,34.4833,136.85,47.08,53,91,5.01,overcast clouds
578,Morden,CA,49.1919,-98.1014,-5.37,77,99,3.44,overcast clouds
579,Bandundu,CD,-3.3167,17.3667,77.54,79,100,5.57,overcast clouds
580,Miandoab,IR,36.9694,46.1027,44.98,93,80,5.35,broken clouds
581,Curuca,BR,-0.7289,-47.8481,73.53,96,100,2.66,overcast clouds
582,Saint-Georges,GD,12.0564,-61.7485,74.88,83,20,3.44,few clouds
583,Bethanien,NA,-26.502,17.1583,80.4,35,0,9.08,clear sky
584,Osa,RU,57.2829,55.4567,28.15,97,100,8.12,snow
585,Novyy Urgal,RU,51.0736,132.5642,-12.42,98,45,1.5,scattered clouds
586,Aykhal,RU,66.0,111.5,-21.93,100,42,1.7,scattered clouds
587,Nikolayevsk-Na-Amure,RU,53.1406,140.73,3.54,96,100,5.86,overcast clouds
588,Dikson,RU,73.5069,80.5464,-7.94,95,100,4.36,overcast clouds
589,Katangli,RU,51.7102,143.2326,5.5,94,100,17.45,light snow
590,Port Hedland,AU,-20.3167,118.5667,98.65,36,100,18.41,overcast clouds
591,Sobolevo,RU,54.4299,31.8996,13.41,97,94,6.26,overcast clouds
592,Payo,ID,-3.7508,103.6372,81.32,87,89,3.6,overcast clouds
593,Bogo,PH,11.0517,124.0055,75.06,87,100,17.69,overcast clouds
594,Nattam,IN,10.2333,78.2333,90.05,41,28,4.03,scattered clouds
595,Aksarka,RU,66.5606,67.7975,2.48,96,100,1.61,overcast clouds
596,Nanzhou,CN,29.3596,112.4024,50.41,47,6,6.6,clear sky
597,Madras,IN,13.0878,80.2785,89.58,70,20,4.0,few clouds
598,Shimoda,JP,34.6667,138.95,40.1,51,2,20.78,clear sky
599,Ixtapa,MX,20.7,-105.2,67.23,90,27,2.51,scattered clouds
600,Whitehorse,CA,60.7161,-135.0538,-4.7,73,100,5.01,light snow
601,Phan Thiet,VN,10.9333,108.1,88.38,51,4,24.94,clear sky
602,Terrace,CA,54.5163,-128.6035,39.11,93,100,17.27,light rain
603,Inskoy,RU,54.4297,86.44,19.29,92,39,5.5,scattered clouds
604,Waipawa,NZ,-41.4122,175.5153,69.46,68,96,2.24,light rain
605,Serrinha,BR,-11.6642,-39.0075,68.56,97,12,2.19,few clouds
606,Durban,ZA,-29.8579,31.0292,74.32,95,100,5.01,overcast clouds
607,Shingu,JP,33.7333,135.9833,46.9,48,0,10.76,clear sky
608,Basco,PH,20.4487,121.9702,74.73,77,98,19.91,overcast clouds
609,Muli,MV,2.9167,73.5667,82.22,68,16,8.88,few clouds
610,Sungai Petani,MY,5.647,100.4877,91.27,62,91,8.12,overcast clouds
611,Tongliao,CN,43.6125,122.2653,8.19,81,3,3.83,clear sky
612,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,4.61,light snow
613,Siparia,TT,10.1333,-61.5,74.07,94,9,8.01,clear sky
614,San Juan,AR,-31.5375,-68.5364,69.24,57,32,17.94,scattered clouds
615,Juneau,US,58.3019,-134.4197,30.25,91,100,0.0,mist
616,Port-Cartier,CA,50.0334,-66.8654,-0.26,81,100,7.7,overcast clouds
617,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,broken clouds
618,Tucuman,AR,-26.8241,-65.2226,71.6,83,0,4.61,clear sky
619,Helong,CN,42.5397,128.9972,8.76,69,100,11.18,overcast clouds
620,Atherton,GB,53.5237,-2.4935,40.44,88,100,1.99,overcast clouds
621,Finnsnes,NO,69.2296,17.9811,22.96,87,100,13.4,light snow
622,Katobu,ID,-4.9408,122.5276,87.94,56,61,7.16,broken clouds
623,Shancheng,CN,34.7953,116.0817,44.15,29,1,13.53,clear sky
624,Chegdomyn,RU,51.1167,133.0167,-11.18,97,79,0.96,broken clouds
625,Maningrida,AU,-12.0667,134.2667,82.56,74,100,11.03,light rain
626,Nicoya,CR,10.1483,-85.452,71.02,88,1,1.74,clear sky
627,Ankazoabo,MG,-22.2833,44.5167,94.01,35,0,5.1,clear sky
628,Yerbogachen,RU,61.2767,108.0108,13.24,94,100,6.93,light snow
629,Seminole,US,28.7086,-81.2081,66.42,91,0,3.44,clear sky
630,Ochakiv,UA,46.6128,31.5498,28.58,63,6,16.98,clear sky
631,Nuziders,AT,47.1667,9.8,41.36,81,10,5.99,clear sky
632,Verkhoyansk,RU,67.5447,133.385,-37.01,100,31,0.96,scattered clouds
633,Virginia Beach,US,36.8529,-75.978,64.0,88,100,7.0,overcast clouds
634,Lyuban,BY,52.7985,28.0048,12.94,99,99,2.33,overcast clouds
635,Jinchang,CN,38.4953,102.1739,25.57,25,100,7.67,overcast clouds
636,Santo Tomas,PH,14.1079,121.1414,88.05,57,81,11.9,broken clouds
637,Amazar,RU,53.858,120.875,4.26,67,100,8.63,overcast clouds
638,Bud,US,39.447,-86.1758,21.29,90,100,12.71,overcast clouds
639,Domodossola,IT,46.1165,8.2931,47.14,52,2,4.79,clear sky
640,Venice,US,27.0998,-82.4543,65.05,96,40,6.91,mist
641,Grand Baie,MU,-20.0182,57.5802,83.44,81,100,10.0,overcast clouds
642,Barcelos,PT,41.5388,-8.6151,51.94,83,100,1.34,overcast clouds
643,Aketi,CD,2.7388,23.7833,85.89,39,64,3.18,broken clouds
644,Laranjeiras Do Sul,BR,-25.4078,-52.4161,65.61,99,100,4.88,light rain
645,Aldan,RU,58.6031,125.3894,-8.57,98,100,1.88,overcast clouds
